food_id,food_name,genus,species,food_group,food_subgroup
98,Lentils,Lens,culinaris,Pulses,Lentils
99,Garden Cress,Lepidium,sativum,Vegetables,Leaf vegetables
100,Lovage,Levisticum,officinale,Herbs and Spices,Herbs
101,Flax,Linum,usitatissimum,Herbs and Spices,Oilseed crops
103,Lychee,Litchi,chinensis,Fruits,Tropical fruits
104,Lupine,Lupinus,,Pulses,Other pulses
105,Apple,Malus,pumila,Fruits,Pomes
106,Mango,Mangifera,indica,Fruits,Tropical fruits
107,German Chamomile,Matricaria,chamomilla,Herbs and Spices,Herbs
108,Lemon Balm,Melissa,officinalis,Herbs and Spices,Herbs
109,Mint,Mentha,,Herbs and Spices,Herbs
110,Eau De Cologne Mint,Mentha,aquatica,Herbs and Spices,Herbs
111,Wild Mint,Mentha,arvensis,Herbs and Spices,Herbs
112,Spearmint,Mentha,spicata,Herbs and Spices,Herbs
113,Peppermint,Mentha,Mentha x piperita,Herbs and Spices,Herbs
114,Medlar,Mespilus,germanica,Fruits,Pomes
115,Bitter Melon,Momordica,charantia,Gourds,Gourds
116,Mulberry,Morus,,Fruits,Berries
117,Black Mulberry,Morus,nigra,Fruits,Berries
118,Nutmeg,Myristica,fragrans,Herbs and Spices,Spices
119,Sweet Basil,Ocimum,basilicum,Herbs and Spices,Herbs
120,Evening Primrose,Oenothera,biennis,Herbs and Spices,Oilseed crops
121,Olive,Olea,europaea,Vegetables,Fruit vegetables
122,Sweet Marjoram,Origanum,majorana,Herbs and Spices,Herbs
123,Marjoram,Origanum,onites,Herbs and Spices,Herbs
124,Oregano,Origanum,vulgare,Herbs and Spices,Herbs
125,Rice,Oryza,sativa,Cereals and cereal products,Cereals
126,Millet,Panicum,miliaceum,Cereals and cereal products,Cereals
127,Poppy,Papaver,,Herbs and Spices,Oilseed crops
128,Passion Fruit,Passiflora,edulis,Fruits,Tropical fruits
129,Parsnip,Pastinaca,sativa,Vegetables,Root vegetables
130,Avocado,Persea,americana,Vegetables,Fruit vegetables
131,Parsley,Petroselinum,crispum,Herbs and Spices,Herbs
132,Scarlet Runner Bean,Phaseolus,coccineus,Pulses,Beans
133,Lima Bean,Phaseolus,lunatus,Pulses,Beans
134,Common Bean,Phaseolus,vulgaris,Pulses,Beans
135,Date,Phoenix,dactylifera,Fruits,Other fruits
136,Black Chokecherry,Aronia,melanocarpa,Fruits,Berries
137,Anise,Pimpinella,anisum,Herbs and Spices,Herbs
138,Pine Nut,Pinus,,Nuts,Nuts
139,Black Pepper,Piper,nigrum,Herbs and Spices,Spices
140,Pistachio,Pistacia,vera,Nuts,Nuts
141,Pea,Pisum,sativum,Pulses,Peas
142,Purslane,Portulaca,oleracea,Herbs and Spices,Herbs
143,"Prunus sp. (Plum, Cherry, Peach, Apricot etc.)",Prunus,,Fruits,Drupes
144,Apricot,Prunus,armeniaca,Fruits,Drupes
145,Sweet Cherry,Prunus,avium,Fruits,Drupes
146,Sour Cherry,Prunus,cerasus,Fruits,Drupes
147,European Plum,Prunus,domestica,Fruits,Drupes
148,Almond,Prunus,dulcis,Nuts,Nuts
149,Peach,Prunus,persica,Fruits,Drupes
150,Guava,Psidium,guajava,Fruits,Tropical fruits
151,Pomegranate,Punica,granatum,Fruits,Tropical fruits
152,Pear,Pyrus,communis,Fruits,Pomes
153,Radish,Raphanus,sativus,Vegetables,Root vegetables
154,Rhubarb,Rheum,rhabarbarum,Vegetables,Stalk vegetables
155,Blackcurrant,Ribes,nigrum,Fruits,Berries
156,Redcurrant,Ribes,rubrum,Fruits,Berries
157,Gooseberry,Ribes,uva-crispa,Fruits,Berries
158,Watercress,Ribes,uva-crispa,Herbs and Spices,Herbs
159,Rosemary,Salvia,rosmarinus,Herbs and Spices,Herbs
160,"Rubus sp. (Blackberry, Raspberry etc.)",Rubus,,Fruits,Berries
161,Cloudberry,Rubus,chamaemorus,Fruits,Berries
162,Red Raspberry,Rubus,idaeus,Fruits,Berries
163,Black Raspberry,Rubus,occidentalis,Fruits,Berries
164,Sorrel,Rumex,acetosa,Herbs and Spices,Herbs
165,Common Sage,Salvia,officinalis,Herbs and Spices,Herbs
166,Elderberry,Sambucus,nigra,Fruits,Berries
167,Summer Savory,Satureja,hortensis,Herbs and Spices,Herbs
168,Winter Savory,Satureja,montana,Herbs and Spices,Herbs
169,Rye,Secale,cereale,Cereals and cereal products,Cereals
170,Sesame,Sesamum,indicum,Herbs and Spices,Oilseed crops
